orig_index,access_e2sfca
1670,0.009058702265161499
1758,0.011080003751444144
1759,1.4335451987441934e-05
1760,0.0087875700809633
1761,0.005999991754160156
1851,0.011653513749240712
1852,0.010915347167098148
1942,0.006113614311481264
1944,0.010977988708164124
2035,0.0015215074187572759
2036,0.005598778883609826
2037,0.009771374481275125
5366,0.0003223685250082954
5479,0.004110771956003725
5480,0.0023126097928644375
5482,0.0007056759384830041
5590,0.004066504969089722
5591,0.00541797257110809
5592,0.006865616522915905
5593,0.0032352305763357053
5595,0.001350484977898821
5596,0.0009596454830299533
5703,0.00757477450941337
5705,0.009329757314459172
5706,0.007227633304686093
5707,0.005028569538083572
5716,0.000938202314215387
5725,0.0020659284960920375
5816,0.008658949970426705
5828,0.0010568340856490477
5829,0.0028158361589568064
5836,0.003851790719136418
5929,0.013051723778569415
5931,0.01170602176107621
5934,0.004577851475495325
5935,0.002397333849787623
5937,0.00035270262827085807
5940,0.002166066913457806
5942,0.003237756263676986
6038,0.012215179260996759
6044,0.006173289688528606
6050,0.003991552387394278
6052,0.004982880852962014
6053,0.004694740093620831
6055,0.00602397188618535
6060,0.0072990060032075916
6061,0.007143572991959059
6148,0.012718044649459399
6150,0.008562068682032069
6152,0.00346849214829647
6158,0.004248206452666169
6160,0.006161055242863714
6164,0.006090807477618131
6165,0.006782118506197159
6257,0.009061544971260608
6259,0.006089245503438864
6261,0.0003742338634463749
6266,0.005027888631575885
6272,0.004606973670072457
6276,0.006767144982979532
6277,0.00647147697761725
6280,0.0020136639109392344
6375,0.005223391574940296
6376,0.006100173543904836
6381,0.004072190456019463
6383,0.005283639212281036
6384,0.005253275524995918
6385,0.005162515007262005
6389,0.0007998957735144528
6390,0.00027893041170823954
6473,0.004415238093869859
6490,0.0012130695886870635
6491,0.0023473471623871697
6492,0.0034426457638231317
6493,0.0020381216252376025
6495,0.002658669713813548
6497,0.0006558808112154772
6499,0.0014641778357431725
6500,0.0005002081149260123
6501,0.00011298834279564533
6502,6.88796692463354e-05
6607,0.001240815186838199
6608,0.00035293566435328855
6609,0.001935034952259498
6610,0.001644289927981002
6619,0.00033015471598324154
6717,0.0020159953210628348
6718,0.0022955465109488257
6719,0.0025462809840383865
6720,0.0018709295318088159
6721,0.001356881017678876
6724,0.0007497179253402266
6725,0.0010628140880039308
6726,0.001401933120660432
6727,0.0013426712294594507
6728,0.001131170840272489
6729,0.0009491360131771287
6830,0.0030797985832876217
6831,0.0028496004106508565
6833,0.0018275095522719191
6834,0.0011725313681605935
6836,0.0015309490712969262
6938,0.002996830493757151
6941,0.0025173172569188246
6942,0.002052705026790542
6943,0.0014683674658226209
6944,0.0014058586869443663
6945,0.0014887879088186485
6946,0.001371388068483049
7049,0.0009741877726016793
7050,0.0006242354947729157
7143,0.0009659889572794224
7144,0.0007960954297150661
7229,0.0005226646334878098
7230,0.00023068177399684543
7544,0.07078549945315628
7613,0.07207164340398657
11793,0.0003817991565518922
11794,0.0012602239148332664
11875,0.0008964704196068341
11876,0.0015234879640352943
11877,0.0019125487197546548
11878,0.0021253556221377513
11879,0.0022540672473065648
11955,0.00017894524105000175
11956,0.0007416444378138871
11958,0.0011153797613391036
11959,0.0012825619268247927
11960,0.0018170118616306515
12039,0.0012853394145987867
